HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01400,01001,L ABERGEMENT CLEMENCIAT,46.1534255214,4.92611354223,01,Ain,84,14370,14074
01640,01002,L ABERGEMENT DE VAREY,46.0091878776,5.42801696363,01,Ain,84,21430,21349
01500,01004,AMBERIEU EN BUGEY,45.9608475114,5.3729257777,01,Ain,84,19500,19067
01330,01005,AMBERIEUX EN DOMBES,45.9961799872,4.91227250796,01,Ain,84,06710,06139
01300,01006,AMBLEON,45.7494989044,5.59432017366,01,Ain,84,02840,02697
01500,01007,AMBRONAY,46.0055913782,5.35760660735,01,Ain,84,01600,01285
01500,01008,AMBUTRIX,45.9367134524,5.3328092349,01,Ain,84,15110,15216
01300,01009,ANDERT ET CONDON,45.7873565333,5.65788307924,01,Ain,84,16250,16263
01350,01010,ANGLEFORT,45.9093715116,5.79516005674,01,Ain,84,14710,14107
01100,01011,APREMONT,46.2054981558,5.65781475272,01,Ain,84,02680,02214
01110,01012,ARANC,46.0015344029,5.51130637511,01,Ain,84,17470,17206
01230,01013,ARANDAS,45.8908155275,5.49870439091,01,Ain,84,14260,14195
01100,01014,ARBENT,46.2834936005,5.69061651221,01,Ain,84,14290,14570
01300,01015,ARBOYS EN BUGEY,45.7237621545,5.65263086429,01,Ain,84,14340,14604
01300,01015,ARBOYS EN BUGEY,45.7237621545,5.65263086429,01,Ain,84,07560,07161
01190,01016,ARBIGNY,46.4776762988,4.9599416863,01,Ain,84,19120,19054
01230,01017,ARGIS,45.9337182132,5.48251100314,01,Ain,84,11300,11120
01510,01019,ARMIX,45.8541838459,5.58357838695,01,Ain,84,06420,06073
01480,01021,ARS SUR FORMANS,45.9934611,4.82199649494,01,Ain,84,10320,10051
01510,01022,ARTEMARE,45.8695891748,5.69065283943,01,Ain,84,25640,25269
01570,01023,ASNIERES SUR SAONE,46.3857281418,4.88387478623,01,Ain,84,06260,06093
01340,01024,ATTIGNAT,46.2861802203,5.1795233845,01,Ain,84,01400,01393
01380,01025,BAGE LA VILLE,46.3233203302,4.9528678933,01,Ain,84,22420,22387
01380,01026,BAGE LE CHATEL,46.3077069231,4.92862084189,01,Ain,84,01150,01213
01360,01027,BALAN,45.8311226453,5.10780019249,01,Ain,84,01300,01058
01990,01028,BANEINS,46.1141214445,4.90146475101,01,Ain,84,16320,16082
01270,01029,BEAUPONT,46.4288360203,5.26003405676,01,Ain,84,04370,04061
01480,01030,BEAUREGARD,46.0008580204,4.75600664694,01,Ain,84,25330,25236
01100,01031,BELLIGNAT,46.2373497134,5.6360052884,01,Ain,84,14170,14099
01360,01032,BELIGNEUX,45.8591464826,5.13989505865,01,Ain,84,02540,02798
01360,01032,BELIGNEUX,45.8591464826,5.13989505865,01,Ain,84,17770,17198
01360,01032,BELIGNEUX,45.8591464826,5.13989505865,01,Ain,84,02370,02758
01360,01032,BELIGNEUX,45.8591464826,5.13989505865,01,Ain,84,13800,13047
01200,01033,BELLEGARDE SUR VALSERINE,46.1067901755,5.83202736464,01,Ain,84,07340,07228
01300,01034,BELLEY,45.7494697806,5.68412365526,01,Ain,84,19160,19219
01130,01035,BELLEYDOUX,46.2530316409,5.78471723698,01,Ain,84,17250,17455
