ID_Veh,SpecCarMakeName,SpecCarType,SpecCarFuelType,SpecCarBodyType,FirstCarDrivingDate,SpecCarPower,groupe_tarification_vehicule,date_debut_construction,date_fin_construction,classe_tarification_vehicule,puissance_reel_vehicule,valeur_a_neuf_vehicule,categorie_commerciale_vehicule,qualification_vehicule_vert,code_type_frequence_rcm,code_type_frequence_rcc,code_type_cout_rcm,code_type_frequence_dta,code_type_cout_dta,code_type_frequence_vol,code_type_cout_vol,code_type_frequence_bdg,code_type_cout_bdg,code_vente_vehicule
AR07012,ALFA ROMEO,GIULIA,DIES,BER,11/2016,7,13,2015,9999,F,150,38800,M2,1,10,6,7,10,11,3,12,9,12,99
AR07018,ALFA ROMEO,GIULIA,CARB,BER,11/2016,40,16,2015,9999,L,510,81100,M2,0,4,5,11,10,18,5,16,6,12,99
AR07020,ALFA ROMEO,GIULIA,CARB,BER,11/2016,11,14,2015,9999,F,200,40800,M2,0,10,5,7,10,15,5,13,6,12,99
AR07026,ALFA ROMEO,GIULIA,DIES,BER,11/2016,9,14,2016,9999,G,180,43790,M2,0,10,6,7,11,15,5,13,9,11,99
AR08060,ALFA ROMEO,GIULIETTA,CARB,BER,11/2016,7,12,2013,2017,D,120,25300,M2,0,13,6,4,10,7,2,8,6,11,99
AR08062,ALFA ROMEO,GIULIETTA,CARB,BER,11/2016,9,14,2013,2017,E,170,30200,M2,1,11,6,7,12,15,5,13,6,12,99
AR08063,ALFA ROMEO,GIULIETTA,DIES,BER,11/2016,5,11,2013,2017,D,105,27750,M2,1,13,8,4,10,10,2,9,9,12,99
AR08064,ALFA ROMEO,GIULIETTA,DIES,BER,11/2016,7,13,2013,2017,E,150,29950,M2,1,11,8,7,11,11,3,11,9,12,99
AR08065,ALFA ROMEO,GIULIETTA,DIES,BER,11/2016,9,14,2013,2017,E,175,33650,M2,1,11,8,7,12,15,5,13,9,12,99
AR08071,ALFA ROMEO,GIULIETTA,CARB,BER,11/2016,6,11,2013,9999,C,105,21090,M2,0,13,6,4,9,9,2,8,6,11,99
AR08087,ALFA ROMEO,GIULIETTA,CARB,BER,11/2016,8,13,2015,9999,D,150,26000,M2,0,11,6,7,10,11,3,11,6,11,99
AR08093,ALFA ROMEO,GIULIETTA,DIES,BER,11/2016,6,12,2015,9999,D,120,26640,M2,0,13,8,4,11,8,2,9,9,11,99
AR08105,ALFA ROMEO,GIULIETTA,CARB,BER,11/2016,14,15,2015,9999,F,240,34700,M2,0,4,5,11,10,15,5,13,6,11,99
