SpecCarMakeNameNeuve,SpecCarTypeNeuve,SpecCarFuelTypeNeuve,SpecCarBodyTypeNeuve,SpecCarPowerNeuve,ID_Veh_Neuve,groupe_tarification_vehicule_Neuve,date_debut_construction_Neuve,date_fin_construction_Neuve,classe_tarification_vehicule_Neuve,puissance_reel_vehicule_Neuve,valeur_a_neuf_vehicule_Neuve,categorie_commerciale_vehicule_Neuve,qualification_vehicule_vert_Neuve,code_type_frequence_rcm_Neuve,code_type_frequence_rcc_Neuve,code_type_cout_rcm_Neuve,code_type_frequence_dta_Neuve,code_type_cout_dta_Neuve,code_type_frequence_vol_Neuve,code_type_cout_vol_Neuve,code_type_frequence_bdg_Neuve,code_type_cout_bdg_Neuve,code_vente_vehicule_Neuve
AUDI,A1 II,CARB,BER,5,AU52073,10,2021,2025,C,95,22280,B,0,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52073,10,2021,2025,C,95,22280,B,0,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52010,10,2018,9999,C,95,20000,B,1,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52010,10,2018,9999,C,95,20000,B,1,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52074,10,2021,9999,D,95,25780,B,0,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52074,10,2021,9999,D,95,25780,B,0,12,6,3,12,5,4,9,7,8,99
AUDI,A1 II,CARB,BER,5,AU52093,10,2023,9999,D,95,26700,B,0,12,6,3,12,6,4,10,7,6,99
AUDI,A1 II,CARB,BER,5,AU52093,10,2023,9999,D,95,26700,B,0,12,6,3,12,6,4,10,7,6,99
AUDI,A1 II,CARB,BER,5,AU52024,10,2018,9999,C,95,24100,B,1,12,6,3,12,5,4,9,7,6,99
AUDI,A1 II,CARB,BER,5,AU52024,10,2018,9999,C,95,24100,B,1,12,6,3,12,5,4,9,7,6,99
AUDI,A1 II,CARB,BER,5,AU52075,10,2021,9999,D,95,27680,B,0,12,6,3,12,6,4,10,7,8,99
AUDI,A1 II,CARB,BER,5,AU52075,10,2021,9999,D,95,27680,B,0,12,6,3,12,6,4,10,7,8,99
AUDI,A1 II,CARB,BER,5,AU52094,10,2023,9999,D,95,28600,B,0,12,6,3,12,6,4,10,7,6,99
